,open_date,subject,neighborhood,Days_Open
10735,2022-03-21 14:12:00,Dept of Law,UNKNOWN,349
10751,2022-07-12 10:09:00,Dept of Public Works,Elmwood Bidwell,236
10809,2022-05-17 10:46:00,Dept of Public Works,Kensington-Bailey,292
10887,2022-09-23 08:36:00,Dept of Public Works,Hopkins-Tifft,163
10908,2022-07-13 16:34:00,Dept of Public Works,Pratt-Willert,235
10997,2022-10-05 08:19:00,Dept of Law,UNKNOWN,151
11001,2022-08-01 15:19:00,Dept of Public Works,Upper West Side,216
11034,2022-03-23 14:20:00,Dept of Public Works,Schiller Park,347
11077,2022-05-17 17:39:00,Dept of Law,UNKNOWN,292
11090,2022-05-12 20:53:00,Dept of Law,UNKNOWN,297
11178,2022-06-08 13:31:00,Dept of Law,UNKNOWN,270
11249,2022-07-25 13:48:00,DPIS,Lovejoy,223
11268,2022-05-13 07:54:00,Dept of Public Works,Central,296
11281,2022-10-13 12:54:00,Dept of Public Works,Central Park,143
11292,2022-08-25 09:43:00,Dept of Public Works,Hopkins-Tifft,192
11318,2022-07-03 16:08:00,Dept of Public Works,West Side,245
11347,2022-06-21 11:20:00,Dept of Public Works,Riverside,257
11394,2022-07-25 12:51:00,Dept of Public Works,Lovejoy,223
11533,2022-08-16 13:24:00,Dept of Law,UNKNOWN,201
11548,2022-04-27 13:52:00,Dept of Law,UNKNOWN,312
11578,2022-03-21 13:43:00,Dept of Public Works,Delavan Grider,349
11602,2022-10-31 09:35:00,DPIS,North Park,125
11697,2022-05-05 14:01:00,Dept of Public Works,Riverside,304
11738,2022-08-15 10:02:00,Dept of Public Works,West Side,202
11744,2022-06-29 15:16:00,Dept of Public Works,Lower West Side,249
11771,2022-05-16 12:02:00,Dept of Law,UNKNOWN,293
11840,2022-05-16 11:26:00,Dept of Public Works,North Park,293
12079,2022-05-13 09:48:00,Dept of Public Works,Hopkins-Tifft,296
12171,2022-04-18 11:29:00,Dept of Public Works,Elmwood Bryant,321
12173,2022-05-26 10:44:00,Dept of Public Works,Lovejoy,283
12193,2022-05-12 15:16:00,Dept of Public Works,West Side,297
12247,2022-03-23 10:53:00,Dept of Public Works,Grant-Amherst,347
12249,2022-06-08 09:26:00,Dept of Public Works,Central Park,270
12271,2022-06-13 15:06:00,Dept of Public Works,MLK Park,265
12292,2022-06-14 08:48:00,Dept of Law,UNKNOWN,264
12400,2022-05-31 15:58:00,Dept of Public Works,Broadway Fillmore,278
12418,2022-03-18 17:54:00,Dept of Public Works,North Park,352
12459,2022-11-23 09:12:00,Office of Strategic Planning,Hamlin Park,102
12466,2022-03-22 17:03:00,Dept of Law,UNKNOWN,348
12504,2022-03-21 15:18:00,Dept of Public Works,Grant-Amherst,349
12564,2022-09-20 22:19:00,Dept of Public Works,West Side,166
12572,2022-04-14 17:38:00,Dept of Law,UNKNOWN,325
12576,2022-07-07 11:40:00,Dept of Public Works,Seneca Babcock,241
12587,2022-07-28 15:29:00,Dept of Law,UNKNOWN,220
12588,2022-08-02 15:57:00,Dept of Public Works,Parkside,215
12601,2022-05-10 15:57:00,Dept of Public Works,South Park,299
12630,2022-08-18 16:17:00,Dept of Public Works,Hopkins-Tifft,199
12647,2022-04-11 15:28:00,Dept of Public Works,Hopkins-Tifft,328
12674,2022-08-18 11:57:00,Dept of Public Works,Parkside,199
12725,2022-08-23 13:01:00,Dept of Public Works,Seneca-Cazenovia,194
12845,2022-08-15 11:12:00,Dept of Public Works,South Park,202
12924,2022-07-25 13:01:00,Dept of Public Works,Broadway Fillmore,223
12968,2022-03-17 11:47:00,Dept of Law,UNKNOWN,353
12974,2022-06-15 08:14:00,Dept of Law,UNKNOWN,263
13013,2022-07-05 11:22:00,Dept of Public Works,Broadway Fillmore,243
13060,2022-03-28 15:53:00,Dept of Law,UNKNOWN,342
13121,2022-08-25 15:59:00,Dept of Public Works,North Park,192
13138,2022-03-21 16:09:00,Dept of Public Works,Riverside,349
13253,2022-03-22 11:22:00,Dept of Public Works,Pratt-Willert,348
13264,2022-08-15 10:11:00,Dept of Public Works,Hopkins-Tifft,202
13269,2022-06-23 12:41:00,Dept of Public Works,Delavan Grider,255
13311,2022-08-29 15:14:00,Dept of Law,UNKNOWN,188
13385,2022-05-04 08:38:00,Dept of Public Works,Genesee-Moselle,305
13389,2022-07-11 15:31:00,Dept of Law,UNKNOWN,237
13494,2022-04-18 17:20:00,Dept of Law,UNKNOWN,321
13523,2022-08-09 12:54:00,Dept of Law,UNKNOWN,208
13525,2022-06-15 10:24:00,Dept of Public Works,Broadway Fillmore,263
13707,2022-03-22 15:23:00,Dept of Public Works,Genesee-Moselle,348
13709,2022-04-07 09:57:00,Dept of Public Works,Seneca-Cazenovia,332
13711,2022-12-22 00:35:00,DPIS,Lovejoy,73
13739,2022-10-12 08:37:00,DPIS,West Hertel,144
13762,2022-05-15 13:30:00,DPIS,Delavan Grider,294
13863,2022-10-13 10:09:00,Dept of Public Works,Upper West Side,143
13905,2022-03-21 10:25:00,Dept of Public Works,Kaisertown,349
13947,2022-04-22 01:16:00,Dept of Public Works,Seneca Babcock,317
13979,2022-04-22 00:11:00,Dept of Public Works,Broadway Fillmore,317
14073,2022-04-01 09:35:00,Dept of Public Works,Kensington-Bailey,338
14102,2022-06-06 08:43:00,Dept of Public Works,Lovejoy,272
14147,2022-01-04 13:05:00,Dept of Public Works,Broadway Fillmore,425
14174,2022-09-19 10:54:00,DPIS,Genesee-Moselle,167
14433,2022-08-25 14:58:00,Dept of Public Works,Delavan Grider,192
14446,2022-07-07 10:49:00,Office of the Mayor,Grant-Amherst,241
14448,2022-11-03 08:59:00,Dept of Public Works,Hopkins-Tifft,122
14542,2022-07-08 09:52:00,Dept of Public Works,Allentown,240
14563,2022-03-20 13:14:00,Dept of Public Works,Central,350
14589,2022-05-31 09:19:00,Dept of Public Works,North Park,278
14637,2022-07-22 14:46:00,Dept of Public Works,Masten Park,226
14679,2022-10-12 08:48:00,Dept of Public Works,University Heights,144
14909,2022-06-01 09:35:00,Dept of Public Works,Genesee-Moselle,277
14968,2022-10-11 14:34:00,Dept of Public Works,Hamlin Park,145
14980,2022-06-27 11:22:00,Dept of Public Works,Fruit Belt,251
14984,2022-12-13 14:29:00,Dept of Law,UNKNOWN,82
14995,2022-10-14 10:27:00,Dept of Public Works,Seneca-Cazenovia,142
15032,2022-06-28 23:19:00,Dept of Public Works,Kensington-Bailey,249
15115,2022-04-21 10:41:00,Dept of Public Works,West Side,318
15140,2022-05-30 19:31:00,Dept of Public Works,North Park,279
15160,2022-08-03 08:43:00,Dept of Public Works,Kaisertown,214
15186,2022-06-15 15:22:00,Dept of Public Works,Pratt-Willert,263
15276,2022-06-28 12:06:00,Dept of Law,UNKNOWN,250
15396,2022-09-19 12:07:00,Dept of Public Works,Broadway Fillmore,167
15410,2022-08-24 15:24:00,Dept of Public Works,North Park,193
15429,2022-05-13 10:56:00,Dept of Public Works,Fruit Belt,296
15431,2022-07-01 09:15:00,Dept of Public Works,Kensington-Bailey,247
15476,2022-08-16 13:19:00,Dept of Public Works,Kaisertown,201
15611,2022-07-24 13:41:00,Dept of Law,UNKNOWN,224
15615,2022-06-09 21:38:00,Dept of Law,UNKNOWN,269
15621,2022-04-13 12:18:00,Utilities,Allentown,326
15661,2022-04-04 15:51:00,Dept of Law,UNKNOWN,335
15671,2022-07-12 13:39:00,Dept of Public Works,Seneca Babcock,236
15721,2022-05-02 18:18:00,Dept of Law,UNKNOWN,307
15785,2022-07-22 09:51:00,Dept of Public Works,Masten Park,226
15862,2022-05-23 11:05:00,Dept of Public Works,Upper West Side,286
15893,2022-06-10 09:48:00,Dept of Public Works,West Side,268
15998,2022-03-21 11:40:00,Dept of Public Works,Elmwood Bidwell,349
15999,2022-07-25 15:28:00,Dept of Public Works,Kaisertown,223
16006,2022-07-21 12:32:00,Dept of Public Works,Broadway Fillmore,227
16011,2022-05-17 09:02:00,Dept of Public Works,Broadway Fillmore,292
16152,2022-04-29 11:31:00,Dept of Public Works,Ellicott,310
16225,2022-05-17 12:30:00,Dept of Law,UNKNOWN,292
16279,2022-07-19 15:26:00,Dept of Public Works,Fillmore-Leroy,229
16288,2022-08-07 09:49:00,Dept of Law,UNKNOWN,210
16333,2022-06-30 15:08:00,Dept of Public Works,Upper West Side,248
16360,2022-03-22 13:42:00,Office of the Mayor,Delavan Grider,348
16444,2022-06-23 15:15:00,Buffalo Police Department,Riverside,255
16453,2022-05-16 09:56:00,Dept of Public Works,University Heights,293
16469,2022-06-29 09:11:00,Dept of Public Works,Genesee-Moselle,249
16489,2022-06-28 12:21:00,Dept of Public Works,Lower West Side,250
16535,2022-08-24 17:18:00,Dept of Public Works,University Heights,193
16662,2022-06-28 14:01:00,Dept of Public Works,Elmwood Bidwell,250
16700,2022-07-19 15:24:00,Dept of Public Works,Broadway Fillmore,229
16858,2022-04-20 15:58:00,Dept of Public Works,West Side,319
16862,2022-06-14 08:23:00,Dept of Public Works,Central,264
16863,2022-10-14 09:05:00,Dept of Public Works,Elmwood Bryant,142
16901,2022-06-14 18:44:00,Dept of Law,UNKNOWN,264
16910,2022-10-11 14:22:00,Dept of Law,UNKNOWN,145
16964,2022-03-21 09:31:00,Dept of Public Works,West Hertel,349
16995,2022-08-16 13:21:00,Dept of Public Works,Kaisertown,201
17021,2022-03-18 12:39:00,Dept of Public Works,Lower West Side,352
17056,2022-06-29 14:02:00,Dept of Public Works,Seneca-Cazenovia,249
17090,2022-03-21 13:12:00,Dept of Public Works,Fillmore-Leroy,349
17111,2022-08-18 13:13:00,Dept of Public Works,Lovejoy,199
17143,2022-10-12 08:49:00,Dept of Public Works,Central,144
17168,2022-11-09 12:50:00,DPIS,Black Rock,116
17391,2022-04-21 14:24:00,Dept of Public Works,Fruit Belt,318
17437,2022-05-23 13:51:00,Dept of Public Works,Lovejoy,286
17449,2022-03-25 15:43:00,Dept of Public Works,Fruit Belt,345
17471,2022-04-22 11:40:00,Dept of Public Works,Broadway Fillmore,317
17483,2022-06-22 08:44:00,Dept of Public Works,West Side,256
17485,2022-05-18 10:21:00,Dept of Law,UNKNOWN,291
17519,2022-06-16 10:37:00,Dept of Law,UNKNOWN,262
17537,2022-05-06 10:45:00,Dept of Public Works,University Heights,303
17638,2022-08-03 08:35:00,Dept of Law,UNKNOWN,214
17670,2022-09-12 14:09:00,Dept of Public Works,Parkside,174
17737,2022-06-15 08:57:00,Dept of Public Works,Seneca-Cazenovia,263
17738,2022-05-20 10:01:00,Dept of Public Works,Hopkins-Tifft,289
17773,2022-07-12 11:27:00,Dept of Public Works,North Park,236
17782,2022-10-14 16:21:00,Dept of Public Works,Masten Park,142
17892,2022-06-06 16:33:00,Buffalo Police Department,Delavan Grider,272
17990,2022-07-12 09:49:00,Dept of Public Works,Fruit Belt,236
18071,2022-05-17 10:20:00,Dept of Law,UNKNOWN,292
18113,2022-07-18 15:23:00,Dept of Public Works,Central,230
18138,2022-08-19 10:11:00,Dept of Public Works,Upper West Side,198
18140,2022-03-25 14:36:00,Dept of Law,UNKNOWN,345
18239,2022-11-14 08:54:00,Dept of Public Works,West Side,111
18253,2022-07-14 10:42:00,Dept of Law,UNKNOWN,234
18258,2022-08-22 09:38:00,Dept of Public Works,Allentown,195
18316,2022-07-11 12:24:00,Dept of Law,UNKNOWN,237
18333,2022-04-14 10:40:00,Dept of Public Works,Kenfield,325
18395,2022-08-26 13:28:00,Dept of Public Works,Upper West Side,191
18408,2022-06-27 22:06:00,Dept of Public Works,Elmwood Bryant,251
18454,2022-03-24 09:17:00,Dept of Public Works,Upper West Side,346
18522,2022-07-11 13:55:00,Dept of Public Works,Delavan Grider,237
18558,2022-08-03 11:13:00,Dept of Public Works,Kensington-Bailey,214
18668,2022-07-12 11:18:00,Dept of Public Works,Fruit Belt,236
18694,2022-04-26 12:53:00,Dept of Public Works,Genesee-Moselle,313
18697,2022-09-22 12:15:00,Dept of Public Works,Elmwood Bidwell,164
18734,2022-08-01 09:39:00,Utilities,Parkside,216
18782,2022-03-25 16:18:00,Dept of Public Works,Parkside,345
18849,2022-05-05 13:37:00,Dept of Public Works,Hopkins-Tifft,304
18897,2022-06-12 10:22:00,Dept of Public Works,Parkside,266
18950,2022-11-06 10:14:00,Dept of Public Works,Elmwood Bryant,119
18966,2022-07-14 15:24:00,Dept of Public Works,Broadway Fillmore,234
18993,2022-10-14 10:46:00,Dept of Public Works,Hopkins-Tifft,142
19021,2022-08-22 15:22:00,Dept of Public Works,Hopkins-Tifft,195
19022,2022-07-11 09:46:00,Dept of Public Works,Masten Park,237
19067,2022-08-02 12:07:00,Dept of Public Works,Hopkins-Tifft,215
19085,2022-12-22 09:37:00,Dept of Public Works,Allentown,73
19087,2022-07-12 10:25:00,Dept of Law,UNKNOWN,236
19115,2022-08-02 10:36:00,Dept of Public Works,Riverside,215
19203,2022-08-22 15:14:00,Dept of Law,UNKNOWN,195
19213,2022-11-07 10:13:00,DPIS,Genesee-Moselle,118
19254,2022-03-23 10:16:00,Dept of Public Works,North Park,347
19357,2022-05-18 11:13:00,Dept of Law,UNKNOWN,291
19472,2022-08-22 15:33:00,Dept of Public Works,Central,195
19498,2022-04-18 12:38:00,Dept of Public Works,Kensington-Bailey,321
19637,2022-10-27 10:03:00,Dept of Law,UNKNOWN,129
19678,2022-10-19 12:43:00,DPIS,Broadway Fillmore,137
19697,2022-11-03 14:56:00,Dept of Public Works,Parkside,122
19713,2022-10-19 10:54:00,DPIS,Central Park,137
19744,2022-09-09 07:07:00,Dept of Law,UNKNOWN,177
19747,2022-06-06 13:00:00,Dept of Public Works,Elmwood Bidwell,272
19792,2022-05-02 14:52:00,Dept of Public Works,Genesee-Moselle,307
19803,2022-08-12 13:37:00,Dept of Law,UNKNOWN,205
19842,2022-08-25 09:47:00,Dept of Public Works,West Hertel,192
19877,2022-03-24 09:48:00,Dept of Public Works,Delavan Grider,346
19921,2022-10-24 10:22:00,DPIS,Genesee-Moselle,132
19932,2022-04-19 11:28:00,Dept of Public Works,Kenfield,320
20077,2022-06-10 16:12:00,Dept of Public Works,South Park,268
20129,2022-11-29 10:18:00,Dept of Public Works,Central,96
20137,2022-10-15 16:12:00,Dept of Law,UNKNOWN,141
20179,2022-07-05 20:15:00,Dept of Law,UNKNOWN,243
20314,2022-04-20 01:23:00,Dept of Public Works,Lower West Side,319
20339,2022-10-14 09:50:00,Dept of Public Works,Seneca Babcock,142
20359,2022-12-16 14:34:00,Dept of Public Works,Kenfield,79
20451,2022-04-19 19:05:00,Dept of Public Works,Elmwood Bidwell,320
20503,2022-08-11 11:21:00,Dept of Public Works,Upper West Side,206
20594,2022-05-10 10:04:00,Dept of Public Works,Parkside,299
20664,2022-06-06 07:57:00,Dept of Public Works,Broadway Fillmore,272
20679,2022-06-17 14:11:00,Dept of Public Works,South Park,261
20685,2022-03-25 15:26:00,Dept of Law,UNKNOWN,345
20755,2022-07-11 16:20:00,Dept of Public Works,Genesee-Moselle,237
20858,2022-07-05 09:57:00,Dept of Law,UNKNOWN,243
20923,2022-04-20 11:56:00,Dept of Public Works,Delavan Grider,319
21049,2022-08-03 09:43:00,Dept of Public Works,Seneca-Cazenovia,214
21267,2022-03-23 10:48:00,Dept of Public Works,Parkside,347
21437,2022-06-08 12:12:00,Dept of Public Works,Parkside,270
